Timestamp,Age,Gender,Employment Status  ,Income Level (per Month) ,How often do you shop for products?,Which platform do you prefer for promotions? ,How often do you purchase products on discount? ,"How often do you wait for a sale before purchasing expensive items(e.g, electronics , fashion items)?","Do you usually plan your purchases around promotional events (e.g., holiday sales, clearance sales)?  ",Do promotions/offers encourage you to buy more than you originally intended?,Have you ever bought a product impulsively due to a discount or promotion?  ,"On average, how much more likely are you to purchase🛒 a product when it’s on sale?  ",Which type of promotions most influences your decision to buy a product?  ,How often do you use coupons or discount codes when shopping online,Do you prefer percentage discounts or fixed amount discounts?  ,How important are discounts when comparing two similar products?   ,Have you ever switched brands because of a discount or promotion?,Which promotional event influences your purchasing the most?,Would you continue purchasing from a brand if they stopped offering discounts?, Do you think discounts lower the perceived quality of a product?,How important are discounts in maintaining your loyalty to a brand? ,Does a brand offering regular promotions increase your trust in that brand?,How much does a discount influence your decision to buy from a specific brand?,"After purchasing a discounted product, how likely are you to return to the brand for full-price purchases?",How much does your perception of a brand change when it frequently offers heavy discounts?,Column 27
06/10/2024 17:23:55,26-35,Male,Employed,"Below 30,000",Weekly,In-store,Always,Always,Sometimes,Sometimes,No,1,Buy-one-get-one free,Always,Percentage discount,Very important,No,Online Exclusive Discounts,No,Sometimes,Neutral,Neutral,Neutral,Somewhat likely,Neutral,
06/10/2024 18:54:51,36-45,Female,Employed,"Below 30,000",Rarely,Both equally,Rarely,Rarely,Sometimes,Sometimes,No,3,Buy-one-get-one free,Rarely,Percentage discount,Neutral,Yes,Diwali Sales,Maybe,Sometimes,Neutral,Yes,Neutral,Neutral,Neutral,
06/10/2024 20:12:45,26-35,Male,Employed,"Below 30,000",Monthly,In-store,Rarely,Rarely,Sometimes,Sometimes,No,2,Cashback offers,Always,Percentage discount,Very important,No,Diwali Sales,No,Sometimes,Somewhat important,Neutral,Somewhat influences,Somewhat likely,Positive,
06/10/2024 20:18:19,26-35,Female,Unemployed,"Below 30,000",Monthly,Both equally,Sometimes,Sometimes,Sometimes,Sometimes,No,3,Buy-one-get-one free,Often,Percentage discount,Very important,Yes,Diwali Sales,Maybe,Sometimes,Somewhat important,Neutral,Somewhat influences,Neutral,Positive,
07/10/2024 10:44:21,Under 16,Female,Student,"Below 30,000",Daily,In-store,Always,Always,Yes,Yes,Yes,1,Percentage discount,Always,Percentage discount,Very important,Yes,Diwali Sales,Yes,Yes,Very important,Yes,Strongly influences,Very likely,Positive,
07/10/2024 18:49:40,46 and Above,Male,Employed,"30,000-59,000",Weekly,Both equally,Always,Always,Sometimes,No,No,1,Cashback offers,Always,Percentage discount,Very important,No,Diwali Sales,Yes,Sometimes,Very important,Yes,Neutral,Somewhat likely,Positive,
07/10/2024 22:25:56,36-45,Female,Unemployed,"Below 30,000",Rarely,In-store,Rarely,Rarely,Sometimes,Sometimes,No,3,Buy-one-get-one free,Rarely,Percentage discount,Very important,No,Diwali Sales,Maybe,Sometimes,Neutral,Neutral,Neutral,Neutral,Neutral,
08/10/2024 12:04:16,26-35,Male,Employed,"90,000-1,19,000",Monthly,In-store,Sometimes,Often,No,No,No,3,Cashback offers,Often,Fixed amount discount,Somewhat important,Yes,End-of-Season Sales,Yes,No,Very important,No,Somewhat influences,Neutral,Negative,
08/10/2024 12:05:25,26-35,Male,Self-employed,"90,000-1,19,000",Weekly,Online,Rarely,Sometimes,Sometimes,No,Yes,2,Free shipping,Always,Percentage discount,Somewhat important,Yes,Flash Sales,No,Yes,Neutral,Yes,Somewhat influences,Somewhat likely,Positive,
08/10/2024 12:06:38,36-45,Male,Self-employed,"60,000-89000",Monthly,Both equally,Rarely,Sometimes,No,Yes,Yes,3,Cashback offers,Often,Percentage discount,Very important,Yes,Flash Sales,No,Sometimes,Somewhat important,Yes,Somewhat influences,Very likely,Positive,
08/10/2024 12:07:42,16-25,Male,Student,"Below 30,000",Weekly,In-store,Rarely,Sometimes,No,Yes,No,4,Flash sales/limited-time offers,Often,Fixed amount discount,Not important,Yes,End-of-Season Sales,No,No,Neutral,No,Somewhat influences,Very likely,Positive,
08/10/2024 12:08:51,46 and Above,Male,Retired,"Below 30,000",Monthly,In-store,Often,Always,Yes,Yes,Yes,3,Percentage discount,Always,Percentage discount,Neutral,No,Flash Sales,No,Yes,Very important,Yes,Somewhat influences,Very likely,Positive,
08/10/2024 12:11:23,46 and Above,Male,Employed,"Below 30,000",Daily,Online,Rarely,Sometimes,No,No,No,3,Buy-one-get-one free,Rarely,Percentage discount,Very important,Yes,Diwali Sales,Yes,No,Somewhat important,No,Strongly influences,Very likely,Positive,
08/10/2024 12:12:50,26-35,Male,Employed,"30,000-59,000",Monthly,Both equally,Sometimes,Sometimes,Sometimes,Sometimes,Yes,3,Buy-one-get-one free,Always,Percentage discount,Very important,Yes,Diwali Sales,Yes,Yes,Very important,Yes,Strongly influences,Very likely,Positive,
08/10/2024 12:13:41,36-45,Male,Student,"30,000-59,000",Daily,In-store,Rarely,Sometimes,No,Sometimes,No,2,Cashback offers,Rarely,Percentage discount,Very important,Yes,End-of-Season Sales,No,Sometimes,Neutral,No,Neutral,Unlikely,Neutral,
08/10/2024 12:15:27,16-25,Male,Unemployed,"Below 30,000",Monthly,Both equally,Sometimes,Often,Sometimes,Sometimes,No,1,Percentage discount,Always,Percentage discount,Somewhat important,No,Flash Sales,No,No,Neutral,Yes,Somewhat influences,Very likely,Positive,
08/10/2024 12:16:14,Under 16,Male,Student,"Below 30,000",Rarely,Online,Often,Rarely,Sometimes,No,No,3,Flash sales/limited-time offers,Often,Fixed amount discount,Very important,Yes,Diwali Sales,Yes,Sometimes,Neutral,Neutral,Strongly influences,Somewhat likely,Positive,
08/10/2024 12:17:07,26-35,Male,Self-employed,"Above 1,20,000",Monthly,Both equally,Sometimes,Often,Yes,No,Yes,3,Buy-one-get-one free,Often,Fixed amount discount,Somewhat important,No,End-of-Season Sales,Yes,No,Very important,Yes,Neutral,Somewhat likely,Neutral,
